order_id,order_date,customer_id,city,channel,category,price,quantity,revenue
102354,12.05.2025,1194,Казань,email,Спорт,7089.86,2,14179.72
100227,11.02.2025,107,Казань,email,Электроника,24152.32,1,24152.32
101034,2025-03-25 14:55:04,520,Санкт-Петербург,social,Книги,2177.53,3,6532.59
100990,16.11.2024,499,Казань,organic,Книги,1975.53,1,1975.53
100167,05.04.2024,80,Санкт-Петербург,social,Книги,903.79,2,1807.58
100277,08.03.2024,137,Москва,ads,Книги,1695.45,3,5086.35
100337,05/24/2025,174,Новосибирск,organic,Красота,1043.68,1,1043.68
100756,12/04/2024,381,Санкт-Петербург,social,Спорт,10920.94,2,21841.88
100358,29.01.2025,185,Москва,ads,Спорт,5222.83,1,5222.83
101132,2025/03/20,570,Санкт-Петербург,referral,Книги,1551.16,5,7755.8
100259,2024-10-23 21:32:57,128,Санкт-Петербург,email,Одежда,2483.0,2,4966.0
101529,02/21/2025,787,Краснодар,ads,Красота,3479.68,2,6959.36
100755,2024/11/06,381,Москва,referral,Одежда,1267.83,2,2535.66
101471,12/26/2024,759,Санкт-Петербург,ads,Одежда,3289.19,4,13156.76
101878,2025/06/01,965,Казань,organic,Красота,2558.14,1,2558.14
101703,2024/11/06,881,Санкт-Петербург,email,Дом,6895.56,2,13791.12
101922,2024-04-19 12:49:37,985,Екатеринбург,referral,Красота,1979.47,1,1979.47
102255,11/07/2024,1144,Москва,social,Книги,1595.2,1,1595.2
100364,02/21/2024,189,Санкт-Петербург,organic,Дом,2306.69,5,11533.45
100365,03/31/2024,189,Краснодар,organic,Спорт,5719.33,1,5719.33
100558,20.11.2024,284,Краснодар,email,Одежда,4002.15,1,4002.15
100474,18.11.2024,246,Казань,ads,Дом,1084.52,1,1084.52
101162,21.03.2024,590,Краснодар,social,Электроника,17535.37,1,17535.37
100580,10.11.2024,292,Казань,organic,Электроника,6789.48,1,6789.48
101042,2025-01-11 13:27:58,525,Санкт-Петербург,ads,Электроника,22737.23,5,113686.15
102157,2024/01/20,1095,Казань,ads,Дом,6141.99,1,6141.99
100163,2024-12-15 20:35:08,77,Москва,referral,Одежда,4918.74,1,4918.74
101910,2024/12/04,979,Москва,organic,Книги,1039.69,1,1039.69
101129,2024-07-14 19:08:19,569,Новосибирск,referral,Красота,4738.89,1,4738.89
101153,20.05.2025,585,Краснодар,social,Электроника,5773.2,1,5773.2
100370,11/23/2024,191,Москва,social,Книги,731.03,1,731.03
100629,23.11.2024,320,Санкт-Петербург,organic,Дом,1791.55,1,1791.55
101084,06/12/2025,546,Москва,email,Одежда,4100.82,1,4100.82
101029,11/24/2024,516,Москва,organic,Одежда,5902.91,3,17708.73
102041,01.12.2024,1038,Москва,social,Одежда,5288.59,1,5288.59
101264,2024/12/18,649,Новосибирск,ads,Спорт,7379.01,1,7379.01
100832,27.12.2024,420,Краснодар,email,Красота,2293.4,3,6880.2
100574,2025-01-02 12:25:03,290,,social,Красота,4162.69,1,4162.69
101679,11/14/2024,871,Санкт-Петербург,social,Дом,4509.67,1,4509.67
101485,12/12/2024,764,Казань,referral,Одежда,1108.73,1,1108.73
101006,12/27/2024,506,Казань,referral,Спорт,11381.51,1,11381.51
101509,03/27/2024,776,Москва,email,Красота,4277.38,1,4277.38
102284,29.08.2024,1159,Москва,referral,Спорт,849.95,1,849.95
